material,property,symbol,value,unit,reference_temperature_K,source,source_type,notes
copper,electrical_resistivity,rho_e_ref,1.68e-8,ohm.m,293.15,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1 (pure copper)",REFERENCE,"annealed pure copper (100% IACS); commercial busbar copper (~97-101% IACS) may vary +/-3%"
copper,temperature_coefficient_of_resistance,alpha,0.00393,1/K,293.15,"CRC Handbook of Chemistry and Physics; standard IEC 60228 temperature coefficient for copper",REFERENCE,"linear TCR model valid ~0-200C; see B00 sign-convention doc"
copper,thermal_conductivity,k,401.0,W/(m.K),300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1",REFERENCE,"mild negative slope with T not included in B00/B01/B02 baseline; treated as constant unless stated"
copper,density,rho_mass,8933.0,kg/m^3,300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1",REFERENCE,""
copper,specific_heat,cp,385.0,J/(kg.K),300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1",REFERENCE,""
aluminum,electrical_resistivity,rho_e_ref,2.65e-8,ohm.m,293.15,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1 (pure aluminum)",REFERENCE,"pure aluminum (~64% IACS); 6061-T6 busbar alloy is lower conductivity (~40-43% IACS) -- see B00 doc, must not be confused"
aluminum,temperature_coefficient_of_resistance,alpha,0.00429,1/K,293.15,"CRC Handbook of Chemistry and Physics; standard IEC 60228 temperature coefficient for aluminum",REFERENCE,"linear TCR model valid ~0-200C"
aluminum,thermal_conductivity,k,237.0,W/(m.K),300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1",REFERENCE,""
aluminum,density,rho_mass,2702.0,kg/m^3,300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1",REFERENCE,""
aluminum,specific_heat,cp,903.0,J/(kg.K),300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.1",REFERENCE,""
air,emissivity_generic_oxidized_copper,epsilon,0.78,dimensionless,300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.11 (oxidized copper, heavily)",REFERENCE,"ASSUMED representative for a weathered/oxidized busbar surface; bright/polished copper has epsilon ~0.02-0.15 -- large spread, must sweep, never assumed single-valued for validation claims"
air,emissivity_generic_oxidized_aluminum,epsilon,0.20,dimensionless,300.0,"Incropera & Bergman, Fundamentals of Heat and Mass Transfer, 7th ed., Table A.11 (aluminum, heavily oxidized)",REFERENCE,"ASSUMED representative; anodized aluminum can exceed 0.8 -- surface finish dependent, must sweep"
constants,stefan_boltzmann,sigma_SB,5.670374419e-8,W/(m^2.K^4),,"CODATA 2018 recommended value",REFERENCE,"exact defining constant per SI"
