sweep,material,T_K,length_m,width_m,thickness_m,area_m2,current_A,resistivity_ohm_m,resistance_ohm,voltage_drop_V,power_W,current_density_A_m2,volumetric_heat_W_m3,status
current_sweep_copper,copper,293.15,0.3,0.04,0.005,0.0002,200.0,1.68e-08,2.52e-05,0.00504,1.008,1000000.0,16800.0,SIMULATED
current_sweep_copper,copper,293.15,0.3,0.04,0.005,0.0002,400.0,1.68e-08,2.52e-05,0.01008,4.032,2000000.0,67200.0,SIMULATED
current_sweep_copper,copper,293.15,0.3,0.04,0.005,0.0002,600.0,1.68e-08,2.52e-05,0.01512,9.072,3000000.0,151199.99999999997,SIMULATED
current_sweep_copper,copper,293.15,0.3,0.04,0.005,0.0002,800.0,1.68e-08,2.52e-05,0.02016,16.128,4000000.0,268800.0,SIMULATED
current_sweep_copper,copper,293.15,0.3,0.04,0.005,0.0002,1000.0,1.68e-08,2.52e-05,0.0252,25.2,5000000.0,420000.0,SIMULATED
thickness_sweep_copper,copper,293.15,0.3,0.04,0.0025,0.0001,400.0,1.68e-08,5.04e-05,0.02016,8.064,4000000.0,268800.0,SIMULATED
thickness_sweep_copper,copper,293.15,0.3,0.04,0.00375,0.00015,400.0,1.68e-08,3.3600000000000004e-05,0.01344,5.376,2666666.666666667,119466.66666666669,SIMULATED
thickness_sweep_copper,copper,293.15,0.3,0.04,0.005,0.0002,400.0,1.68e-08,2.52e-05,0.01008,4.032,2000000.0,67200.0,SIMULATED
thickness_sweep_copper,copper,293.15,0.3,0.04,0.0075,0.0003,400.0,1.68e-08,1.6800000000000002e-05,0.00672,2.688,1333333.3333333335,29866.66666666667,SIMULATED
thickness_sweep_copper,copper,293.15,0.3,0.04,0.01,0.0004,400.0,1.68e-08,1.26e-05,0.00504,2.016,1000000.0,16800.0,SIMULATED
width_sweep_copper,copper,293.15,0.3,0.02,0.005,0.0001,400.0,1.68e-08,5.04e-05,0.02016,8.064,4000000.0,268800.0,SIMULATED
width_sweep_copper,copper,293.15,0.3,0.03,0.005,0.00015,400.0,1.68e-08,3.3600000000000004e-05,0.01344,5.376,2666666.666666667,119466.66666666669,SIMULATED
width_sweep_copper,copper,293.15,0.3,0.04,0.005,0.0002,400.0,1.68e-08,2.52e-05,0.01008,4.032,2000000.0,67200.0,SIMULATED
width_sweep_copper,copper,293.15,0.3,0.06,0.005,0.0003,400.0,1.68e-08,1.6800000000000002e-05,0.00672,2.688,1333333.3333333335,29866.66666666667,SIMULATED
width_sweep_copper,copper,293.15,0.3,0.08,0.005,0.0004,400.0,1.68e-08,1.26e-05,0.00504,2.016,1000000.0,16800.0,SIMULATED
material_comparison,copper,293.15,0.3,0.04,0.005,0.0002,400.0,1.68e-08,2.52e-05,0.01008,4.032,2000000.0,67200.0,SIMULATED
material_comparison,aluminum,293.15,0.3,0.04,0.005,0.0002,400.0,2.65e-08,3.975e-05,0.015899999999999997,6.359999999999999,2000000.0,105999.99999999999,SIMULATED
constant_vs_temperature_dependent,copper,293.15,0.3,0.04,0.005,0.0002,400.0,1.68e-08,2.52e-05,0.01008,4.032,2000000.0,67200.0,SIMULATED
constant_vs_temperature_dependent,copper,353.15,0.3,0.04,0.005,0.0002,400.0,2.076144e-08,3.114216e-05,0.012456864,4.982745599999999,2000000.0,83045.76,SIMULATED
